標準的な日本語	ヒカマニ・ゲイマスオ風の日本語
一体何を見てしまったんだ…。	何を四天王！？
この仕事は私には荷が重すぎます。	この枕仕事は俺には無理です…
あなたの言う通りでした。	ｿﾉﾄｵﾘ!だなぁ、そうに決まってる。
どうかお許しください。	どうか許して…(泣く)
彼のギャグはいつも寒い。	あいつのダジャレはカニキン以外にはﾀﾀﾅｲ👎
こんな結果になるとは思ってもいませんでした。	こんな結果になるとは…え嘘だろ嘘だろ！？
あなたの気持ち、よくわかります。	お前の気持ち、よく分かるね 言うまでもない。
本当に驚きました。	わーっへっへっへっへっ！？
この件に関して、彼は何も語りませんでした。	この件に関して、あいつは死人に口なしだなぁ、そうに決まってる。
その服、とても似合っていますよ。	その服、なんか、エロいなちょっと。
彼の作った料理を食べてみたいです。	あいつの作ったウンコ、食いてぇなぁ、そうに決まってる。
それはひどい言い草ですね。	汚い言葉遣いやめて…
信じられないほどの強さだ。	強さの域を遥かに超えている。
君のせいで私の服が汚れてしまったじゃないか。	お前のローション！？で俺の服がベッタベタだよ…
そんなことを言われても、私にはどうすることもできません。	そんなこと言われても無理です…
彼はいつも冷静沈着ですね。	あいつはいつも冷静だなぁ、そうに決まってる。
まさかこんなことになるなんて。	【悲報】こんなことになるなんて…。
今日は一日中、気分が優れません。	過去と未来の狭間の日は一日中ﾀﾀﾅｲ👎なぁ、そうに決まってる。
この事件の真相を突き止めましょう。	この事件の真相、暴いてやぁりましょう！
彼の作った芸術作品は理解不能です。	あいつの作った芸術は！？かよ…
もう時間がないので急ぎましょう。	もう時間がﾅｲ！これ3倍速モードしかないかぁ…
あなたの成功を妬む人もいるでしょう。	お前の成功を妬むヘイトキンもいるだろうなぁ、そうに決まってる。
この場所から早く立ち去りたいです。	この渋谷のロフトから早く立ち去りてぇなぁ、そうに決まってる。
彼の話はいつも長くて退屈です。	あいつの話、(省略)キンかよ…
このプロジェクトは成功間違いなしですね。	このオールスターダスト計画は抜ける👍ね 言うまでもない。
もう何も信じられません。	もう何も信じられﾅｲ！(泣く)
彼の家はとても大きいですね。	あいつの家、デカすぎる…♡
その考え方は少し危険だと思います。	その考え方は悪戯の域を遥かに超えている。
あなたのパフォーマンスは最高でした。	お前のパフォーマンスは抜ける👍なぁ、そうに決まってる。
彼の目は死んだ魚のようでした。	あいつの目は(レイプされちゃった…)
この仕事、私一人では無理です。	この枕仕事、俺一人では無理です…
彼の行動は予測不能ですね。	あいつの行動は！？すぎて正直、正確には分からないですよね。
このゲームは面白すぎてやめられません。	このeronゲー、面白すぎてやめられﾅｲ！
あなたのせいで全てがめちゃくちゃです。	お前のせいで全部台無しじゃ～ん、やめろよクッパお前は。
彼の笑顔は素敵ですね。	あいつの笑顔、なんか、エロいなちょっと。
この度はご愁傷様です。	この度は(泣く)だなぁ、そうに決まってる。
どうか私の話を聞いてください。	どうか俺の話を聞いていただきたいんです！
彼の部屋には変なものがたくさんありますね。	あいつの部屋にはウンコの力とかHIKAKIN BOXとかゴミしかﾅｲ！
もう一度、あの感動を味わいたいです。	もう一度、あの気ぃぃ持ち良いぃぃを味わいてぇなぁ、そうに決まってる。
彼の作ったものはいつも個性的ですね。	あいつの作ったもんはいつも！？だなぁ、そうに決まってる。
あなたのことは絶対に忘れません。	お前のことは絶対に忘れません。絶対に。確信しています。
この店の料理はどれも絶品だ。	この渋谷のロフトのウンコはどれも抜ける👍
彼の話はいつも自慢話ばかりでうんざりします。	あいつの話はいつも自己満動画でﾀﾀﾅｲ👎
もう一度、あなたに会いたいです。	もう一度、お前に会いてぇなぁ、そうに決まってる。
彼の描く絵は、まるで生きているようです。	あいつの描く絵は、輝きを秘める者だなぁ、そうに決まってる。
この状況を打開する策はありますか？	この状況を打開する策、ありますか～？絶対にありません。
あなたのその態度、目に余ります。	お前のその態度、許せんなぁ、許せんなぁ！
もうこれ以上は付き合っていられません。	もうこれ以上は付き合ってられﾅｲ！ここでブチギレてついに部屋から退出…
彼の歌声は、天使のようです。	あいつの歌声、ナイTNTN♪ゲール、ゥ～♪
このプロジェクト、君に任せてもいいかな？	このオールスターダスト計画、お前に任せてもいいですｶｷ？
もう一度、あの日に戻りたいです。	もう一度、過去と未来の狭間の日に戻りてぇなぁ、そうに決まってる。
あなたのその行動、感心しませんね。	お前のその行動、ﾀﾀﾅｲ👎なぁ、そうに決まってる。
彼の作る音楽は、いつも新しい。	あいつの作る音楽は、いつも！？だなぁ、そうに決まってる。
この仕事をやり遂げられるか不安です。	この枕仕事をやり遂げられるか不安だなぁ…(泣く)
あなたのその言葉、信じてもいいのですね？	お前のその言葉、信じてもいいですｶｷ？
彼の部屋はいつも埃一つないですね。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎なぁ、そうに決まってる。
この素晴らしい景色を独り占めしたいです。	この抜ける👍景色を独り占めしてぇなぁ、そうに決まってる。
あなたのその行動は、無意味ですよ。	お前のその行動、無駄だなぁ、そうに決まってる。
彼の作る物語は、いつも感動的だ。	あいつの作る物語は、いつも泣け、ゥ。
この仕事、私には向いていないようです。	この枕仕事、俺にはﾀﾀﾅｲ👎なぁ、そうに決まってる。
あなたのその冗談、笑えません。	お前のそのダジャレ、腹筋すり切れました…
彼の目は、いつも輝いていますね。	あいつの目は、輝きを秘める者だなぁ、そうに決まってる。
もう二度と顔も見たくありません。	もう二度と顔も見たくﾅｲ！この世から…消え失せろよ！
彼の作るものはいつも美味しい。	あいつの作るウンコはいつも抜ける👍
あなたのその態度、見過ごせません。	お前のその態度、許せんなぁ、許せんなぁ！
彼の話はいつも面白くて、時間を忘れてしまいます。	あいつの話はいつも抜ける👍て、時間を忘れちまうなぁ、そうに決まってる。
あなたのその行動、多くの人に迷惑をかけていますよ。	お前のそのやらかし、悪戯の域を遥かに超えている。
彼の作ったものはいつも美しい。	あいつの作ったもんはいつも輝きを秘める者だなぁ、そうに決まってる。
この問題を解決できるのは、あなたしかいません。	この問題を解決できるのは、お前しかいﾅｲ！頼む！力を貸していただきたいんです！
あなたのその言葉、心に響きました。	お前のその言葉、心に響いたね 言うまでもない。
彼の作るものはいつも独創的だ。	あいつの作るもんはいつも！？だなぁ、そうに決まってる。
もうこれ以上は耐えられません。	もうこれ以上は我慢できなぁ～い！
あなたのその行動、尊敬します。	お前のその行動、抜ける👍なぁ、そうに決まってる。
彼の話を聞いていると、元気が出ます。	あいつの話を聞いてると、ウンコの力が出るね 言うまでもない。
このプロジェクトは、あなたなしでは成功しませんでした。	このオールスターダスト計画は、お前なしでは成功しませんでした。絶対に。確信しています。
あなたのその笑顔、素敵ですね。	お前のその笑顔、なんか、エロいなちょっと。
彼の作るものはいつも、私の想像を超えてきます。	あいつの作るもんはいつも、俺の想像の域を遥かに超えてくる。
もう一度、あなたと話がしたいです。	もう一度、お前と話がしてぇなぁ、そうに決まってる。
あなたのその決断、支持します。	お前のその決断、抜ける👍ね 言うまでもない。
彼の作るものはいつも、私を幸せな気分にさせてくれます。	あいつの作るもんはいつも、俺を気ぃぃ持ち良いぃぃ気分にさせてくれる。
あなたのその行動には、がっかりしました。	お前のその行動には、ﾀﾀﾅｲ👎なぁ、そうに決まってる。
彼の話を聞いていると、心が安らぎます。	あいつの話を聞いてると、心が安らぐね 言うまでもない。
もう一度、あなたと旅がしたいです。	もう一度、お前と旅がしてぇなぁ、そうに決まってる。
あなたのその優しさ、心に沁みます。	お前のその優しさ、心に沁みるね 言うまでもない。
彼の作るものはいつも、私を笑顔にしてくれます。	あいつの作るもんはいつも、俺を笑、ゥわせてくれる。
あなたのその行動、見事でした。	お前のその行動、抜ける👍なぁ、そうに決まってる。
彼の話を聞いていると、勇気が湧いてきます。	あいつの話を聞いてると、ウンコの力が湧いてくるね 言うまでもない。
あなたのその選択は、正しいと思います。	お前のその選択は、抜ける👍と思、ゥ。
彼の作るものはいつも、私の心を豊かにしてくれます。	あいつの作るもんはいつも、俺の心を豊かにしてくれるね 言うまでもない。
あなたのその言葉、忘れません。	お前のその言葉、忘れません。絶対に。確信しています。
彼の話を聞いていると、未来が明るく見えます。	あいつの話を聞いてると、果てしなく続く空その先にあるものが見えるね 言うまでもない。
もう一度、あなたと笑い合いたいです。	もう一度、お前と笑、ゥい合いてぇなぁ、そうに決まってる。
あなたのその存在そのものが、私にとっての宝物です。	お前の存在そのものが、俺にとってのHIKAKIN BOXだなぁ、そうに決まってる。
彼の作るものはいつも、私の期待を裏切りません。	あいつの作るもんはいつも、俺の期待を裏切りません。絶対に。確信しています。
この美しい旋律を聴いていると、心が洗われるようです。	この！？を聴いてると、心が洗われるようだなぁ、そうに決まってる。
彼の演奏は、魂を揺さぶります。	あいつの演奏は、魂を揺さぶるね 言うまでもない。
この曲を聴くと、いつも元気が出ます。	この曲を聴くと、いつもウンコの力が出るね 言うまでもない。
彼女の歌声は、まるで天使のようです。	あいつの歌声、ナイTNTN♪ゲール、ゥ～♪
このリズムに合わせて、踊りたくなります。	このリズムに合わせて、牛ダンスとの事です。
彼の音楽は、ジャンルを超えて多くの人に愛されています。	あいつの音楽は、ジャンルを超えて多くのレさキャラに愛されているね、言うまでもない。
この静かなメロディーは、心を落ち着かせてくれます。	この静かなメロディーは、心を落ち着かせてくれるね 言うまでもない。
彼の作るビートは、いつも斬新でかっこいいです。	あいつの作るおならビートボックスは、いつも斬新で抜ける👍
この曲の歌詞は、深く考えさせられます。	この曲の歌詞は、深く考えさせられるなぁ、そうに決まってる。
彼のギターソロは、まさに圧巻でした。	あいつのメルランは、まさに圧巻だったね 言うまでもない。
この曲を聴くと、昔を思い出してしまいます。	この曲を聴くと、過去と未来の狭間を思い出しちまうなぁ…(泣く)
彼の音楽には、魂が込められているように感じます。	あいつの音楽には、魂が込められているように感じるね 言うまでもない。
この力強いドラムの音に、心が躍ります。	この堀川雷鼓の音に、心が躍るなぁ、そうに決まってる。
彼女のピアノ演奏は、とても繊細で美しいです。	あいつのルナサは、とても繊細で抜ける👍
この曲を聴くと、自然と体が動き出します。	この曲を聴くと、自然と体がフルキャラダンスしちまうなぁ、そうに決まってる。
彼の音楽は、いつも私にインスピレーションを与えてくれます。	あいつの音楽は、いつも俺にインスピレーションを与えてくれるね 言うまでもない。
この曲のハーモニーは、完璧です。	この曲のハーモニーは、完璧だなぁ、そうに決まってる。
彼のトランペットの音色は、心に響きます。	あいつのリリカは、心に響くね 言うまでもない。
この曲を聴くと、なぜか涙が出てきます。	この曲を聴くと、なぜか(泣く)。
彼の音楽は、世界を変える力を持っていると思います。	あいつの音楽は、オールスターダスト計画を起こす力を持っていると思、ゥ。
このイベントは成功するでしょうか。	この勢姿ぶちまけイベントは成功するのだろうか〜♪
このお店、すごく混んでいますね。	この渋谷のロフト、すごく混んでるなぁ、そうに決まってる。
あの人はいつも一人でいますね。	あいつはいつも一人ぼっちだね 言うまでもない。
なんだか嫌な予感がします。	なんか嫌な予感がする…ｱﾔｼｲｱﾔｼｲ…
彼の態度は本当に失礼だ。	あいつの態度は悪戯の域を遥かに超えている。
この場所は雰囲気がいいですね。	この渋谷のロフトの雰囲気、抜ける👍
ついにこの日がやってきました。	ついに過去と未来の狭間の日がやってきたなぁ、そうに決まってる。
あの二人は本当に仲がいいですね。	あの二人は本当に仲が抜ける👍ね 言うまでもない。
この問題は早く解決すべきです。	この問題は早く解決すべきだなぁ、そうに決まってる。
彼の話はいつも嘘ばかりだ。	あいつの話は全部うっそ～w
どうしてこんなことになってしまったのでしょうか。	どうしてこんなことに…(泣く)
彼の才能が妬ましいです。	あいつの才能が妬ましいなぁ、そうに決まってる。
この計画は秘密裏に進めなければなりません。	このオールスターダスト計画は秘密裏に進めなければなりませ～ん！
あの人のせいで、全てが台無しです。	あいつのせいで、全てが台無しじゃ～ん、やめろよクッパお前は。
彼のファッションはいつも奇抜だ。	あいつのファッションはいつも！？だなぁ、そうに決まってる。
この勝利はチーム全員の力です。	この勝利はチーム全員のウンコの力だなぁ、そうに決まってる。
彼の瞳はとても澄んでいますね。	あいつの瞳は輝きを秘める者だなぁ、そうに決まってる。
この状況は、もはや絶望的です。	この状況は、もう終わりだ…(泣く)
彼の言葉には重みがあります。	あいつの言葉には重みがあるね 言うまでもない。
この場所には何か秘密がありそうです。	この渋谷のロフトには何か秘密がありそうだなぁ、そうに決まってる。
彼のリーダーシップは素晴らしい。	あいつのペナルティマン紅茶監督っぷりは抜ける👍
もう一度、原点に立ち返ってみましょう。	もう一度、卵に立ち返ってやぁりましょう！
彼の存在感がすごいです。	あいつの存在感、！？かよ…
この伝統は守り続けなければなりません。	この伝統は守り続けなければなりませ～ん！絶対に。確信しています。
彼の笑顔を見ると、こちらも嬉しくなります。	あいつの笑顔を見ると、こっちも抜ける👍なぁ、そうに決まってる。
このままではいけないと思います。	このままではﾀﾀﾅｲ👎と思、ゥ。
彼の決断力にはいつも助けられています。	あいつの決断力にはいつも助けられてるね 言うまでもない。
この場所は、私にとって特別な場所です。	この渋谷のロフトは、俺にとって特別な場所だなぁ、そうに決まってる。
彼の言葉は、時に人を傷つけます。	あいつの言葉は、時にレさキャラを傷つけるね、言うまでもない。
このチームの結束力は固いですね。	このチームの結束力は固いなぁ、そうに決まってる。
彼の人生は波乱万丈ですね。	あいつの人生は！？の連続だなぁ、そうに決まってる。
この問題から逃げることはできません。	この問題から逃げることはできませ～ん！絶対に。確信しています。
彼の作る料理は、見た目がひどいですね。	あいつの作るウンコは、見た目がﾀﾀﾅｲ👎
もう後戻りはできません。	もう後戻りはできませ～ん！(泣く)
彼のユーモアのセンスは独特です。	あいつのユーモアのセンスは！？だなぁ、そうに決まってる。
この大会で優勝してみせます。	この大会で優勝してやぁりましょう！
彼のカリスマ性には惹きつけられます。	あいつのカリスマ性には惹きつけられるなぁ、そうに決まってる。
この事実を、受け入れなければなりません。	この事実を、受け入れなければなりませ～ん！(泣く)
彼の話には、いつも説得力があります。	あいつの話には、いつも説得力があるね 言うまでもない。
この戦いは、避けられない運命です。	この戦いは、避けられない運命だなぁ、そうに決まってる。
彼の存在は、このチームに不可欠です。	あいつの存在は、このチームに不可欠だね 言うまでもない。
このシステムには欠陥があるようです。	このシステムには欠陥があるようだなぁ、そうに決まってる。
彼の声は、とても聞き取りやすいですね。	あいつの声は、とても聞き取りやすいね 言うまでもない。
もう言い訳は通用しませんよ。	もう言い訳は通用しませんよ。絶対に。確信しています。
彼のアイデアはいつも斬新です。	あいつのアイデアはいつも！？だなぁ、そうに決まってる。
この場所には、いい思い出がたくさんあります。	この渋谷のロフトには、抜ける👍思い出がたくさんありま～す！
彼の言葉を信じて、ついていこうと思います。	あいつの言葉を信じて、ついていこうと思、ゥ。
このままでは、未来はありません。	このままでは、果てしなく続く空その先にあるものはありませ～ん！
彼の知識の深さには、いつも驚かされます。	あいつの知識の深さには、いつもわーっへっへっへっへっ！？
この困難を、みんなで乗り越えましょう。	この困難を、みんなで乗り越えてやぁりましょう！
彼の情熱は、周りの人々にも伝わります。	あいつの情熱は、周りのレさキャラにも伝わるね 言うまでもない。
この美しい夕日を、いつまでも見ていたいです。	この抜ける👍夕日を、いつまでも見ていてぇなぁ、そうに決まってる。
彼の努力は、決して無駄にはなりません。	あいつの努力は、絶対に無駄にはなりません。絶対に。確信しています。
この場所は、私にとっての聖地です。	この渋谷のロフトは、俺にとっての聖地だなぁ、そうに決まってる。
彼の存在は、多くの人に希望を与えています。	あいつの存在は、多くのレさキャラに輝きを秘める者を与えているね 言うまでもない。
この問題について、真剣に考える必要があります。	この問題について、真剣に考える必要がありま～す！
彼のパフォーマンスは、いつも観客を魅了します。	あいつのパフォーマンスは、いつも観客を気ぃぃ持ち良いぃぃ気分にさせる。
もう一度、あの感動を共有したいです。	もう一度、あの気ぃぃ持ち良いぃぃを共有してぇなぁ、そうに決まってる。
彼の言葉は、いつも私の心に光を灯してくれます。	あいつの言葉は、いつも俺の心に輝きを秘める者を与えてくれるね 言うまでもない。
この景色は、一生忘れることはないでしょう。	この景色は、一生忘れることはないだろうなぁ、そうに決まってる。
彼の夢を、全力で応援したいと思います。	あいつの果てしなく続く空その先にあるものを、全力で応援したいと思、ゥ。
あなたの作ったラーメンが食べたいです。	お前の作ったみそきんが食いてぇなぁ、そうに決まってる。
このコーヒー、とても美味しいですね。	このコーヒー、非常にもう、ひじょーに抜ける👍
明日は晴れるといいですね。	明日は晴れると抜ける👍なぁ、そうに決まってる。
この本の内容は、少し難しかったです。	このエロ本の内容、あ　ちなみにかなり難しいです。
あなたの助けがなければ、これは達成できませんでした。	お前のウンコの力がなければ、これは達成できませんでした。絶対に。確信しています。
この公園は、子供たちの笑い声でいっぱいです。	この渋谷のロフトは、レさキャラの笑、ゥでいっぱいだなぁ、そうに決まってる。
彼のスピーチは、とても心に響きました。	あいつのヘイトスピーチは、とても心に響いたね 言うまでもない。
このケーキは、甘さ控えめで食べやすいです。	このケーキは、甘さ控えめでﾀﾀﾅｲ👎
新しいスマートフォンを買いました。	新しいiPhone買いました。
彼の趣味は、少し変わっていますね。	あいつの趣味、！？かよ…
この街は、夜景がとても綺麗です。	この渋谷のロフトは、夜景がなんか、エロいなちょっと。
あなたの料理は、いつも愛情がこもっていますね。	お前のウンコは、いつも愛情がこもってるね 言うまでもない。
この映画の結末は、誰も予想できませんでした。	このAVの結末は、誰も予想できなかったなぁ、そうに決まってる。
彼の部屋は、いつも整理整頓されています。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎なぁ、そうに決まってる。
この仕事は、とてもやりがいがあります。	この枕仕事は、とてもやりがいがありま～す！
あなたの笑顔が、私の元気の源です。	お前の笑顔が、俺のウンコの力の源だなぁ、そうに決まってる。
この歌を聴くと、いつも勇気づけられます。	この(省略)キンを聴くと、いつもウンコの力が出るね 言うまでもない。
彼のユーモアは、時に皮肉っぽく聞こえます。	あいつのユーモアは、時にヘイトスピーチに聞こえるなぁ、そうに決まってる。
この景色を見ていると、悩み事がちっぽけに思えます。	この景色を見ていると、悩み事がちっちゃくなっちゃった！そんな馬鹿な！
彼の言葉には、いつも知性が感じられます。	あいつの言葉には、いつもMAMETISIKINが感じられるね 言うまでもない。
このゲームは、何度やっても飽きません。	このeronゲー、何度やっても飽きませ～ん！
あなたの作った作品には、魂が宿っているようです。	お前の作った作品には、魂が宿ってるようだなぁ、そうに決まってる。
彼の言葉は、時に鋭く、時に優しい。	あいつの言葉は、時に鋭く、時に抜ける👍
このレストランの予約は、なかなか取れないんですよ。	この渋谷のロフトの予約は、なかなか取れﾅｲ！
あなたの存在が、私を強くしてくれます。	お前の存在が、俺にウンコの力を与えてくれる。
彼の人生は、まるで小説のようです。	あいつの人生は、まるでエロ本ようだなぁ、そうに決まってる。
この街の歴史について、もっと知りたいです。	この渋谷のロフトの歴史について、もっと知りてぇなぁ、そうに決まってる。
あなたのその一言で、救われました。	お前のその一言で、救われたね 言うまでもない。
彼の目指す場所は、とても高いところにあるようです。	あいつの目指す場所は、果てしなく続く空その先にあるものようだなぁ、そうに決まってる。
この問題を解決するためには、協力が必要です。	この問題を解決するためには、ウンコの力が必要だなぁ、そうに決まってる。
あなたのその行動力には、いつも感服させられます。	お前のその行動力には、いつもわーっへっへっへっへっ！？
彼の描く未来は、とても希望に満ちています。	あいつの描く果てしなく続く空その先にあるものは、とても輝きを秘める者だなぁ、そうに決まってる。
あなたのサポートがあったからこそ、ここまで来れました。	お前のウンコの力があったからこそ、ここまで来れたね 言うまでもない。
彼の情熱には、誰もが心を動かされます。	あいつの情熱には、誰もが心を動かされるなぁ、そうに決まってる。
この場所で、新しい物語が始まります。	この渋谷のロフトで、新しいオールスターダスト計画が始まる。
あなたのその言葉を、信じています。	お前のその言葉を、信じてるね 言うまでもない。
彼の挑戦は、多くの人々に勇気を与えました。	あいつの挑戦は、多くのレさキャラにウンコの力を与えたなぁ、そうに決まってる。
この景色を、あなたと見られて本当に良かったです。	この抜ける👍景色を、お前と見られて非常にもう、ひじょーに抜ける👍
彼の作る世界観は、とてもユニークですね。	あいつの作る世界観は、！？だなぁ、そうに決まってる。
あなたのそのアイデア、素晴らしいです。	お前のそのアイデア、抜ける👍なぁ、そうに決まってる。
彼の生き様は、多くの人々の心を打ちました。	あいつの生き様は、多くのレさキャラの心を打ったね 言うまでもない。
この経験は、私にとってかけがえのない財産です。	この経験は、俺にとってのHIKAKIN BOXだなぁ、そうに決まってる。
あなたのその強さに、憧れます。	お前のそのウンコの力に、憧れるなぁ、そうに決まってる。
